"etudiant_id","matricule_etudiant","nom_etudiant","prenom_etudiant","sexe_etudiant","date_naissance_etudiant","promotion_id","date_inscription_etudiant"
21,"ISIPA2024021","LUBALA","Alain","H","2002-09-12",11,"2024-10-15 09:10:00"
22,"UCC2024022","KABONGO","Joséphine","F","2004-04-18",11,"2024-10-15 09:25:00"
23,"UPC2024023","MUKOKO","Christian","H","2001-07-30",12,"2024-10-16 10:00:00"
24,"UPN2024024","MBONGE","Aurelie","F","2003-05-21",12,"2024-10-16 10:15:00"
25,"UNIKIN2024025","KASONGO","Michel","H","2002-03-11",13,"2024-10-17 09:00:00"
26,"ISC2024026","BASANGA","Eliane","F","2004-12-22",13,"2024-10-17 09:15:00"
27,"ISTM2024027","MUSONDA","Jean","H","2001-06-05",14,"2024-10-18 08:45:00"
28,"ISIPA2024028","NYONDO","Claire","F","2003-08-14",14,"2024-10-18 09:00:00"
29,"UCC2024029","KABILA","David","H","2002-01-28",15,"2024-10-19 09:20:00"
30,"UPC2024030","LUKUNDA","Marie","F","2003-06-22",15,"2024-10-19 09:35:00"
31,"UPN2024031","MUKENDI","Alex","H","2002-11-30",16,"2024-10-20 10:00:00"
32,"UNIKIN2024032","KABONGO","Sophie","F","2003-04-05",16,"2024-10-20 10:15:00"
33,"ISC2024033","MBANDA","Jean","H","2001-12-12",17,"2024-10-21 09:25:00"
34,"ISTM2024034","LUNDA","Patricia","F","2004-09-08",17,"2024-10-21 09:40:00"
35,"ISIPA2024035","MUSONDA","Paul","H","2002-05-15",18,"2024-10-22 08:50:00"
36,"UCC2024036","KALONJI","Alice","F","2003-11-22",18,"2024-10-22 09:05:00"
37,"UPC2024037","LUBALA","Michel","H","2001-07-19",19,"2024-10-23 09:10:00"
38,"UPN2024038","NDJOKU","Chantal","F","2003-03-28",19,"2024-10-23 09:25:00"
39,"UNIKIN2024039","MUSONDA","Jean","H","2002-08-11",20,"2024-10-24 08:40:00"
40,"ISC2024040","KABILA","Emilie","F","2004-01-17",20,"2024-10-24 08:55:00"
41,"ISC2024041","MUKOKO","Pierre","H","2002-04-03",21,"2024-10-25 09:10:00"
42,"ISTM2024042","MBONGE","Aline","F","2003-07-12",21,"2024-10-25 09:25:00"
43,"ISIPA2024043","KASONGO","David","H","2001-05-28",22,"2024-10-26 09:40:00"
44,"UCC2024044","BASANGA","Fatou","F","2003-10-22",22,"2024-10-26 09:55:00"
45,"UPC2024045","MUSONDA","Jean","H","2002-02-17",23,"2024-10-27 08:50:00"
46,"UPN2024046","KALONJI","Patricia","F","2003-06-15",23,"2024-10-27 09:05:00"
47,"UNIKIN2024047","LUBALA","Michel","H","2001-09-09",24,"2024-10-28 09:20:00"
48,"ISC2024048","NDJOKU","Alice","F","2003-12-21",24,"2024-10-28 09:35:00"
49,"ISTM2024049","MUKENDI","Jean","H","2002-07-05",25,"2024-10-29 08:50:00"
50,"ISIPA2024050","KABONGO","Marie","F","2003-05-18",25,"2024-10-29 09:05:00"
51,"UCC2024051","MWAMBA","Pierre","H","2001-08-12",26,"2024-10-30 09:10:00"
52,"UPC2024052","LUNDA","Sophie","F","2003-03-25",26,"2024-10-30 09:25:00"
53,"UPN2024053","MUKOKO","Jean-Claude","H","2002-12-17",27,"2024-10-01 08:55:00"
54,"UNIKIN2024054","BASANGA","Alice","F","2004-05-10",27,"2024-10-01 09:10:00"
55,"ISC2024055","KABILA","David","H","2002-06-22",28,"2024-10-02 09:20:00"
56,"ISTM2024056","NDJOKU","Marie","F","2003-09-13",28,"2024-10-02 09:35:00"
57,"ISIPA2024057","MUSONDA","Paul","H","2001-04-07",29,"2024-10-03 08:50:00"
58,"UCC2024058","KALONJI","Emilie","F","2003-07-19",29,"2024-10-03 09:05:00"
59,"UPC2024059","LUBALA","Jean","H","2002-01-28",30,"2024-10-04 09:10:00"
60,"UPN2024060","MBONGE","Patricia","F","2003-11-23",30,"2024-10-04 09:25:00"
61,"UNIKIN2024061","KASONGO","Michel","H","2001-05-16",31,"2024-10-05 08:50:00"
62,"ISC2024062","BOKO","Aline","F","2003-06-18",31,"2024-10-05 09:05:00"
63,"ISTM2024063","MUKENDI","Jean","H","2002-09-09",32,"2024-10-06 09:10:00"
64,"ISIPA2024064","KABONGO","Marie","F","2003-02-21",32,"2024-10-06 09:25:00"
65,"UCC2024065","MUSONDA","Paul","H","2001-07-12",33,"2024-10-07 08:55:00"
66,"UPC2024066","NDJOKU","Sophie","F","2003-03-28",33,"2024-10-07 09:10:00"
67,"UPN2024067","LUNDA","Alex","H","2002-05-05",34,"2024-10-08 09:15:00"
68,"UNIKIN2024068","MBANDA","Alice","F","2004-08-12",34,"2024-10-08 09:30:00"
69,"ISC2024069","MUKOKO","David","H","2001-01-18",35,"2024-10-09 08:50:00"
70,"ISTM2024070","BASANGA","Fatou","F","2003-06-21",35,"2024-10-09 09:05:00"
71,"ISIPA2024071","KALONJI","Jean","H","2002-10-03",36,"2024-10-10 09:10:00"
72,"UCC2024072","LUBALA","Marie","F","2003-12-12",36,"2024-10-10 09:25:00"
73,"UPC2024073","MUKENDI","Paul","H","2001-05-27",37,"2024-10-11 08:55:00"
74,"UPN2024074","KABONGO","Alice","F","2003-07-14",37,"2024-10-11 09:10:00"
75,"UNIKIN2024075","MUSONDA","David","H","2002-03-18",38,"2024-10-12 09:20:00"
76,"ISC2024076","NDJOKU","Patricia","F","2003-08-22",38,"2024-10-12 09:35:00"
77,"ISTM2024077","LUNDA","Jean","H","2001-09-30",39,"2024-10-13 08:50:00"
78,"ISIPA2024078","MBONGE","Emilie","F","2003-02-17",39,"2024-10-13 09:05:00"
79,"UCC2024079","KASONGO","Michel","H","2002-07-19",40,"2024-10-14 09:10:00"
80,"UPC2024080","BOKO","Alice","F","2003-05-23",40,"2024-10-14 09:25:00"
81,"UPN2024081","MUKOKO","Jean","H","2001-11-12",41,"2024-10-15 08:50:00"
82,"UNIKIN2024082","MBANDA","Sophie","F","2004-01-19",41,"2024-10-15 09:05:00"
83,"ISC2024083","MUSONDA","Paul","H","2002-04-08",42,"2024-10-16 09:10:00"
84,"ISTM2024084","NDJOKU","Marie","F","2003-09-21",42,"2024-10-16 09:25:00"
85,"ISIPA2024085","KALONJI","Jean","H","2001-06-14",43,"2024-10-17 08:55:00"
86,"UCC2024086","LUBALA","Patricia","F","2003-12-05",43,"2024-10-17 09:10:00"
87,"UPC2024087","MUKENDI","David","H","2002-08-10",44,"2024-10-18 09:20:00"
88,"UPN2024088","KABONGO","Alice","F","2003-03-12",44,"2024-10-18 09:35:00"
89,"UNIKIN2024089","MBONGE","Jean","H","2001-07-21",45,"2024-10-19 08:50:00"
90,"ISC2024090","BASANGA","Sophie","F","2003-11-18",45,"2024-10-19 09:05:00"
91,"ISTM2024091","MUSONDA","Michel","H","2002-02-27",46,"2024-10-20 09:10:00"
92,"ISIPA2024092","NDJOKU","Marie","F","2003-06-23",46,"2024-10-20 09:25:00"
93,"UCC2024093","LUNDA","Paul","H","2001-08-15",47,"2024-10-21 08:50:00"
94,"UPC2024094","MBANDA","Alice","F","2003-12-30",47,"2024-10-21 09:05:00"
95,"UPN2024095","MUKOKO","Jean","H","2002-05-12",48,"2024-10-22 09:10:00"
96,"UNIKIN2024096","KALONJI","Sophie","F","2003-09-07",48,"2024-10-22 09:25:00"
97,"ISC2024097","LUBALA","David","H","2001-01-28",49,"2024-10-23 08:50:00"
98,"ISTM2024098","MBONGE","Fatou","F","2003-04-15",49,"2024-10-23 09:05:00"
99,"ISIPA2024099","MUKENDI","Jean","H","2002-08-20",50,"2024-10-24 09:10:00"
100,"UCC2024100","KABONGO","Marie","F","2003-11-10",50,"2024-10-24 09:25:00"
101,"UPC2024101","MUSONDA","Paul","H","2001-07-03",51,"2024-10-25 08:50:00"
102,"UPN2024102","NDJOKU","Alice","F","2003-02-28",51,"2024-10-25 09:05:00"
103,"UNIKIN2024103","LUNDA","David","H","2002-05-18",52,"2024-10-26 09:10:00"
104,"ISC2024104","MBANDA","Sophie","F","2003-09-23",52,"2024-10-26 09:25:00"
105,"ISTM2024105","KALONJI","Jean","H","2001-12-12",53,"2024-10-27 08:50:00"
106,"ISIPA2024106","LUBALA","Patricia","F","2003-06-05",53,"2024-10-27 09:05:00"
107,"UCC2024107","MUKOKO","Michel","H","2002-01-17",54,"2024-10-28 09:10:00"
108,"UPC2024108","NDJOKU","Marie","F","2003-07-19",54,"2024-10-28 09:25:00"
109,"UPN2024109","MUSONDA","Paul","H","2001-08-21",55,"2024-10-29 08:50:00"
110,"UNIKIN2024110","KABONGO","Alice","F","2003-12-02",55,"2024-10-29 09:05:00"
111,"ISC2024111","MBONGE","Jean","H","2002-03-27",56,"2024-10-30 09:10:00"
112,"ISTM2024112","BASANGA","Sophie","F","2003-06-11",56,"2024-10-30 09:25:00"
113,"ISIPA2024113","MUKENDI","David","H","2001-05-18",57,"2024-10-31 08:50:00"
114,"UCC2024114","KALONJI","Fatou","F","2003-09-28",57,"2024-10-31 09:05:00"
115,"UPC2024115","LUBALA","Jean","H","2002-02-21",58,"2024-10-01 09:10:00"
116,"UPN2024116","NDJOKU","Patricia","F","2003-07-15",58,"2024-10-01 09:25:00"
117,"UNIKIN2024117","MUSONDA","Michel","H","2001-08-12",59,"2024-10-02 08:50:00"
118,"ISC2024118","KABONGO","Alice","F","2003-03-09",59,"2024-10-02 09:05:00"
119,"ISTM2024119","MBANDA","Paul","H","2002-11-17",60,"2024-10-03 09:10:00"
120,"ISIPA2024120","MUKOKO","Sophie","F","2003-01-26",60,"2024-10-03 09:25:00"
121,"UCC2024121","KALONJI","Jean","H","2001-06-15",61,"2024-10-04 08:50:00"
122,"UPC2024122","LUBALA","Marie","F","2003-09-20",61,"2024-10-04 09:05:00"
123,"UPN2024123","MUKENDI","David","H","2002-02-18",62,"2024-10-05 09:10:00"
124,"UNIKIN2024124","NDJOKU","Alice","F","2003-05-25",62,"2024-10-05 09:25:00"
125,"ISC2024125","MUSONDA","Paul","H","2001-07-08",63,"2024-10-06 08:50:00"
126,"ISTM2024126","BASANGA","Marie","F","2003-12-12",63,"2024-10-06 09:05:00"
127,"ISIPA2024127","KABONGO","Jean","H","2002-03-27",64,"2024-10-07 09:10:00"
128,"UCC2024128","MBONGE","Patricia","F","2003-08-18",64,"2024-10-07 09:25:00"
129,"UPC2024129","MUKOKO","David","H","2001-05-09",65,"2024-10-08 08:50:00"
130,"UPN2024130","NDJOKU","Sophie","F","2003-11-22",65,"2024-10-08 09:05:00"
131,"UNIKIN2024131","LUNDA","Michel","H","2002-07-14",66,"2024-10-09 09:10:00"
132,"ISC2024132","MBANDA","Alice","F","2003-04-17",66,"2024-10-09 09:25:00"
133,"ISTM2024133","MUSONDA","Paul","H","2001-02-21",67,"2024-10-10 08:50:00"
134,"ISIPA2024134","KALONJI","Marie","F","2003-09-03",67,"2024-10-10 09:05:00"
135,"UCC2024135","LUBALA","Jean","H","2002-06-11",68,"2024-10-11 09:10:00"
136,"UPC2024136","NDJOKU","Patricia","F","2003-03-28",68,"2024-10-11 09:25:00"
137,"UPN2024137","MUKENDI","Michel","H","2001-08-23",69,"2024-10-12 08:50:00"
138,"UNIKIN2024138","KABONGO","Alice","F","2003-12-18",69,"2024-10-12 09:05:00"
139,"ISC2024139","MBONGE","David","H","2002-05-21",70,"2024-10-13 09:10:00"
140,"ISTM2024140","BASANGA","Sophie","F","2003-07-09",70,"2024-10-13 09:25:00"
141,"ISIPA2024141","MUKOKO","Jean","H","2001-01-30",71,"2024-10-14 08:50:00"
142,"UCC2024142","NDJOKU","Marie","F","2003-06-12",71,"2024-10-14 09:05:00"
143,"UPC2024143","LUNDA","Paul","H","2002-09-19",72,"2024-10-15 09:10:00"
144,"UPN2024144","MBANDA","Alice","F","2003-01-25",72,"2024-10-15 09:25:00"
145,"UNIKIN2024145","MUSONDA","David","H","2001-04-14",73,"2024-10-16 08:50:00"
146,"ISC2024146","KALONJI","Sophie","F","2003-08-02",73,"2024-10-16 09:05:00"
147,"ISTM2024147","LUBALA","Jean","H","2002-12-12",74,"2024-10-17 09:10:00"
148,"ISIPA2024148","NDJOKU","Patricia","F","2003-05-05",74,"2024-10-17 09:25:00"
149,"UCC2024149","MUKENDI","Michel","H","2001-07-18",75,"2024-10-18 08:50:00"
150,"UPC2024150","MBONGE","Alice","F","2003-03-22",75,"2024-10-18 09:05:00"
151,"UPN2024151","KASONGO","Jean","H","2002-01-28",76,"2024-10-19 09:10:00"
152,"UNIKIN2024152","BASANGA","Marie","F","2003-06-15",76,"2024-10-19 09:25:00"
153,"ISC2024153","MUSONDA","Paul","H","2001-08-11",77,"2024-10-20 08:50:00"
154,"ISTM2024154","NDJOKU","Alice","F","2003-12-05",77,"2024-10-20 09:05:00"
155,"ISIPA2024155","LUNDA","David","H","2002-03-22",78,"2024-10-21 09:10:00"
156,"UCC2024156","MBANDA","Sophie","F","2003-07-12",78,"2024-10-21 09:25:00"
157,"UPC2024157","KALONJI","Jean","H","2001-05-17",79,"2024-10-22 08:50:00"
158,"UPN2024158","LUBALA","Marie","F","2003-09-28",79,"2024-10-22 09:05:00"
159,"UNIKIN2024159","MUKOKO","David","H","2002-02-16",80,"2024-10-23 09:10:00"
160,"ISC2024160","NDJOKU","Alice","F","2003-06-27",80,"2024-10-23 09:25:00"
161,"ISTM2024161","MUSONDA","Paul","H","2001-12-10",81,"2024-10-24 08:50:00"
162,"ISIPA2024162","KALONJI","Sophie","F","2003-03-08",81,"2024-10-24 09:05:00"
163,"UCC2024163","LUBALA","Jean","H","2002-05-19",82,"2024-10-25 09:10:00"
164,"UPC2024164","NDJOKU","Marie","F","2003-08-21",82,"2024-10-25 09:25:00"
165,"UPN2024165","MUKENDI","Michel","H","2001-01-17",83,"2024-10-26 08:50:00"
166,"UNIKIN2024166","BASANGA","Alice","F","2003-06-09",83,"2024-10-26 09:05:00"
167,"ISC2024167","MUSONDA","David","H","2002-09-25",84,"2024-10-27 09:10:00"
168,"ISTM2024168","NDJOKU","Sophie","F","2003-12-12",84,"2024-10-27 09:25:00"
169,"ISIPA2024169","LUNDA","Jean","H","2001-04-08",85,"2024-10-28 08:50:00"
170,"UCC2024170","MBANDA","Marie","F","2003-07-19",85,"2024-10-28 09:05:00"
171,"UPC2024171","KALONJI","Paul","H","2002-02-14",86,"2024-10-29 09:10:00"
172,"UPN2024172","LUBALA","Patricia","F","2003-05-03",86,"2024-10-29 09:25:00"
173,"UNIKIN2024173","MUKOKO","Jean","H","2001-08-26",87,"2024-10-30 08:50:00"
174,"ISC2024174","NDJOKU","Alice","F","2003-01-20",87,"2024-10-30 09:05:00"
175,"ISTM2024175","MUSONDA","Michel","H","2002-07-17",88,"2024-10-01 09:10:00"
176,"ISIPA2024176","KALONJI","Marie","F","2003-10-08",88,"2024-10-01 09:25:00"
177,"UCC2024177","LUBALA","David","H","2001-03-22",89,"2024-10-02 08:50:00"
178,"UPC2024178","NDJOKU","Sophie","F","2003-08-30",89,"2024-10-02 09:05:00"
179,"UPN2024179","MUKENDI","Jean","H","2002-12-11",90,"2024-10-03 09:10:00"
180,"UNIKIN2024180","BASANGA","Alice","F","2003-04-15",90,"2024-10-03 09:25:00"
181,"ISC2024181","MUSONDA","Paul","H","2001-05-19",91,"2024-10-04 08:50:00"
182,"ISTM2024182","KALONJI","Marie","F","2003-09-07",91,"2024-10-04 09:05:00"
183,"ISIPA2024183","LUBALA","Jean","H","2002-02-16",92,"2024-10-05 09:10:00"
184,"UCC2024184","NDJOKU","Patricia","F","2003-06-23",92,"2024-10-05 09:25:00"
185,"UPC2024185","MUKOKO","David","H","2001-08-20",93,"2024-10-06 08:50:00"
186,"UPN2024186","MBONGE","Alice","F","2003-12-18",93,"2024-10-06 09:05:00"
187,"UNIKIN2024187","KASONGO","Jean","H","2002-03-27",94,"2024-10-07 09:10:00"
188,"ISC2024188","BASANGA","Sophie","F","2003-07-12",94,"2024-10-07 09:25:00"
189,"ISTM2024189","MUSONDA","Paul","H","2001-01-16",95,"2024-10-08 08:50:00"
190,"ISIPA2024190","NDJOKU","Alice","F","2003-05-27",95,"2024-10-08 09:05:00"
191,"UCC2024191","LUNDA","David","H","2002-08-18",96,"2024-10-09 09:10:00"
192,"UPC2024192","MBANDA","Sophie","F","2003-11-02",96,"2024-10-09 09:25:00"
193,"UPN2024193","MUKOKO","Jean","H","2001-07-21",97,"2024-10-10 08:50:00"
194,"UNIKIN2024194","KALONJI","Marie","F","2003-03-12",97,"2024-10-10 09:05:00"
195,"ISC2024195","LUBALA","Paul","H","2002-01-28",98,"2024-10-11 09:10:00"
196,"ISTM2024196","NDJOKU","Patricia","F","2003-09-18",98,"2024-10-11 09:25:00"
197,"ISIPA2024197","MUSONDA","Michel","H","2001-06-05",99,"2024-10-12 08:50:00"
198,"UCC2024198","KABONGO","Alice","F","2003-12-21",99,"2024-10-12 09:05:00"
199,"UPC2024199","MBONGE","David","H","2002-05-17",100,"2024-10-13 09:10:00"
200,"UPN2024200","MUKENDI","Sophie","F","2003-08-30",100,"2024-10-13 09:25:00"
201,"UNIKIN2024201","KABONGO","Paul","H","2002-11-12",1,"2024-10-14 09:05:00"
202,"ISC2024202","MUKOKO","Alice","F","2003-07-25",1,"2024-10-14 09:20:00"
203,"ISIPA2024203","MBONGE","Jean","H","2001-05-17",2,"2024-10-15 08:50:00"
204,"UCC2024204","NDJOKU","Marie","F","2003-02-28",2,"2024-10-15 09:05:00"
205,"UPC2024205","LUNDA","Paul","H","2002-09-30",3,"2024-10-16 09:10:00"
206,"UPN2024206","MUSONDA","Patricia","F","2003-06-12",3,"2024-10-16 09:25:00"
207,"UNIKIN2024207","MBANDA","Michel","H","2001-08-20",4,"2024-10-17 08:50:00"
208,"ISC2024208","KALONJI","Sophie","F","2003-03-07",4,"2024-10-17 09:05:00"
209,"ISIPA2024209","LUBALA","David","H","2002-01-25",5,"2024-10-18 09:10:00"
210,"UCC2024210","NDJOKU","Alice","F","2003-09-18",5,"2024-10-18 09:25:00"
211,"UPC2024211","MUKENDI","Jean","H","2001-07-21",6,"2024-10-19 08:50:00"
212,"UPN2024212","KABONGO","Marie","F","2003-03-12",6,"2024-10-19 09:05:00"
213,"UNIKIN2024213","MUSONDA","Paul","H","2002-01-28",7,"2024-10-20 09:10:00"
214,"ISC2024214","NDJOKU","Patricia","F","2003-09-18",7,"2024-10-20 09:25:00"
215,"ISIPA2024215","MBONGE","Michel","H","2001-06-05",8,"2024-10-21 08:50:00"
216,"UCC2024216","KALONJI","Alice","F","2003-12-21",8,"2024-10-21 09:05:00"
217,"UPC2024217","LUNDA","David","H","2002-05-17",9,"2024-10-22 09:10:00"
218,"UPN2024218","MUKOKO","Sophie","F","2003-08-30",9,"2024-10-22 09:25:00"
219,"UNIKIN2024219","MBANDA","Jean","H","2001-11-12",10,"2024-10-23 09:05:00"
220,"ISC2024220","NDJOKU","Marie","F","2003-07-25",10,"2024-10-23 09:20:00"
221,"ISIPA2024221","KABONGO","Paul","H","2002-11-12",11,"2024-10-24 09:05:00"
222,"UCC2024222","MUKOKO","Alice","F","2003-07-25",11,"2024-10-24 09:20:00"
223,"UPC2024223","MBONGE","Jean","H","2001-05-17",12,"2024-10-25 08:50:00"
224,"UPN2024224","NDJOKU","Marie","F","2003-02-28",12,"2024-10-25 09:05:00"
225,"UNIKIN2024225","LUNDA","Paul","H","2002-09-30",13,"2024-10-26 09:10:00"
226,"ISC2024226","MUSONDA","Patricia","F","2003-06-12",13,"2024-10-26 09:25:00"
227,"ISIPA2024227","MBANDA","Michel","H","2001-08-20",14,"2024-10-27 08:50:00"
228,"UCC2024228","KALONJI","Sophie","F","2003-03-07",14,"2024-10-27 09:05:00"
229,"UPC2024229","LUBALA","David","H","2002-01-25",15,"2024-10-28 09:10:00"
230,"UPN2024230","NDJOKU","Alice","F","2003-09-18",15,"2024-10-28 09:25:00"
231,"UNIKIN2024231","MUKENDI","Jean","H","2001-07-21",16,"2024-10-29 08:50:00"
232,"ISC2024232","KABONGO","Marie","F","2003-03-12",16,"2024-10-29 09:05:00"
233,"ISIPA2024233","MUSONDA","Paul","H","2002-01-28",17,"2024-10-30 09:10:00"
234,"UCC2024234","NDJOKU","Patricia","F","2003-09-18",17,"2024-10-30 09:25:00"
235,"UPC2024235","MBONGE","Michel","H","2001-06-05",18,"2024-10-31 08:50:00"
236,"UPN2024236","KALONJI","Alice","F","2003-12-21",18,"2024-10-31 09:05:00"
237,"UNIKIN2024237","LUNDA","David","H","2002-05-17",19,"2023-10-01 09:10:00"
238,"ISC2024238","MUKOKO","Sophie","F","2003-08-30",19,"2023-10-01 09:25:00"
239,"ISIPA2024239","MBANDA","Jean","H","2001-11-12",20,"2023-10-02 09:05:00"
240,"UCC2024240","NDJOKU","Marie","F","2003-07-25",20,"2023-10-02 09:20:00"
241,"UPC2024241","KABONGO","Paul","H","2002-11-12",21,"2023-10-03 09:05:00"
242,"UPN2024242","MUKOKO","Alice","F","2003-07-25",21,"2023-10-03 09:20:00"
243,"UNIKIN2024243","MBONGE","Jean","H","2001-05-17",22,"2023-10-04 08:50:00"
244,"ISC2024244","NDJOKU","Marie","F","2003-02-28",22,"2023-10-04 09:05:00"
245,"ISIPA2024245","LUNDA","Paul","H","2002-09-30",23,"2023-10-05 09:10:00"
246,"UCC2024246","MUSONDA","Patricia","F","2003-06-12",23,"2023-10-05 09:25:00"
247,"UPC2024247","MBANDA","Michel","H","2001-08-20",24,"2023-10-06 08:50:00"
248,"UPN2024248","KALONJI","Sophie","F","2003-03-07",24,"2023-10-06 09:05:00"
249,"UNIKIN2024249","LUBALA","David","H","2002-01-25",25,"2023-10-07 09:10:00"
250,"ISC2024250","NDJOKU","Alice","F","2003-09-18",25,"2023-10-07 09:25:00"
251,"ISIPA2024251","MUKENDI","Jean","H","2001-07-21",26,"2023-10-08 08:50:00"
252,"UCC2024252","KABONGO","Marie","F","2003-03-12",26,"2023-10-08 09:05:00"
253,"UPC2024253","MUSONDA","Paul","H","2002-01-28",27,"2023-10-09 09:10:00"
254,"UPN2024254","NDJOKU","Patricia","F","2003-09-18",27,"2023-10-09 09:25:00"
255,"UNIKIN2024255","MBONGE","Michel","H","2001-06-05",28,"2023-10-10 08:50:00"
256,"ISC2024256","KALONJI","Alice","F","2003-12-21",28,"2023-10-10 09:05:00"
257,"ISIPA2024257","LUNDA","David","H","2002-05-17",29,"2023-10-11 09:10:00"
258,"UCC2024258","MUKOKO","Sophie","F","2003-08-30",29,"2023-10-11 09:25:00"
259,"UPC2024259","MBANDA","Jean","H","2001-11-12",30,"2023-10-12 09:05:00"
260,"UPN2024260","NDJOKU","Marie","F","2003-07-25",30,"2023-10-12 09:20:00"
261,"UNIKIN2024261","KABONGO","Paul","H","2002-11-12",31,"2023-10-13 09:05:00"
262,"ISC2024262","MUKOKO","Alice","F","2003-07-25",31,"2023-10-13 09:20:00"
263,"ISIPA2024263","MBONGE","Jean","H","2001-05-17",32,"2023-10-14 08:50:00"
264,"UCC2024264","NDJOKU","Marie","F","2003-02-28",32,"2023-10-14 09:05:00"
265,"UPC2024265","LUNDA","Paul","H","2002-09-30",33,"2023-10-15 09:10:00"
266,"UPN2024266","MUSONDA","Patricia","F","2003-06-12",33,"2023-10-15 09:25:00"
267,"UNIKIN2024267","MBANDA","Michel","H","2001-08-20",34,"2023-10-16 08:50:00"
268,"ISC2024268","KALONJI","Sophie","F","2003-03-07",34,"2023-10-16 09:05:00"
269,"ISIPA2024269","LUBALA","David","H","2002-01-25",35,"2023-10-17 09:10:00"
270,"UCC2024270","NDJOKU","Alice","F","2003-09-18",35,"2023-10-17 09:25:00"
271,"UPC2024271","MUKENDI","Jean","H","2001-07-21",36,"2023-10-18 08:50:00"
272,"UPN2024272","KABONGO","Marie","F","2003-03-12",36,"2023-10-18 09:05:00"
273,"UNIKIN2024273","MUSONDA","Paul","H","2002-01-28",37,"2023-10-19 09:10:00"
274,"ISC2024274","NDJOKU","Patricia","F","2003-09-18",37,"2023-10-19 09:25:00"
275,"ISIPA2024275","MBONGE","Michel","H","2001-06-05",38,"2023-10-20 08:50:00"
276,"UCC2024276","KALONJI","Alice","F","2003-12-21",38,"2023-10-20 09:05:00"
277,"UPC2024277","LUNDA","David","H","2002-05-17",39,"2023-10-21 09:10:00"
278,"UPN2024278","MUKOKO","Sophie","F","2003-08-30",39,"2023-10-21 09:25:00"
279,"UNIKIN2024279","MBANDA","Jean","H","2001-11-12",40,"2023-10-22 09:05:00"
280,"ISC2024280","NDJOKU","Marie","F","2003-07-25",40,"2023-10-22 09:20:00"
281,"ISIPA2024281","KABONGO","Paul","H","2002-11-12",41,"2023-10-23 09:05:00"
282,"UCC2024282","MBIKAYI","Alice","F","2003-07-25",41,"2023-10-23 09:20:00"
283,"UPC2024283","KASONGO","David","H","2002-10-11",42,"2023-10-24 09:05:00"
284,"UPN2024284","MUKWASA","Sophie","F","2003-01-18",42,"2023-10-24 09:25:00"
285,"UNIKIN2024285","KABASU","Jean","H","2001-06-03",43,"2023-10-25 08:50:00"
286,"ISC2024286","MWILA","Marie","F","2003-09-21",43,"2023-10-25 09:05:00"
287,"ISIPA2024287","BONGOLO","Paul","H","2002-12-12",44,"2023-10-26 09:10:00"
288,"UCC2024288","MBWANGU","Patricia","F","2003-03-14",44,"2023-10-26 09:25:00"
289,"UPC2024289","KATUMBI","Michel","H","2001-08-05",45,"2023-10-27 08:50:00"
290,"UPN2024290","NYAMU","Alice","F","2003-11-19",45,"2023-10-27 09:05:00"
291,"UNIKIN2024291","MBUKA","David","H","2002-05-23",46,"2023-10-28 09:10:00"
292,"ISC2024292","MULONGO","Sophie","F","2003-08-07",46,"2023-10-28 09:25:00"
